STARTING PORTFOLIO BACKTEST - Initial Capital: Rs. 500000.0
--------------------------------------------------
[2019-02-01] BUY  BRITANNIA  | Qty:   15 | Cost: Rs. 48765.00
[2019-02-01] BUY  CANFINHOME | Qty:  193 | Cost: Rs. 49987.00
[2019-02-01] BUY  CCL        | Qty:  185 | Cost: Rs. 49931.50
[2019-02-04] SELL ASHOKLEY   | Reason: HARD STOP (1%)       | PnL: Rs.  -795.00
[2019-02-04] SELL ASIANPAINT | Reason: TRAILING STOP        | PnL: Rs.  -368.90
[2019-02-04] BUY  ATGL       | Qty:  520 | Cost: Rs. 49920.00
[2019-02-04] BUY  AUROPHARMA | Qty:   65 | Cost: Rs. 49656.75
[2019-02-04] SELL BEL        | Reason: HARD STOP (1%)       | PnL: Rs.  -537.60
[2019-02-04] SELL BHARATFORG | Reason: HARD STOP (1%)       | PnL: Rs.  -540.35
[2019-02-04] SELL BHARTIARTL | Reason: HARD STOP (1%)       | PnL: Rs.  -847.60
[2019-02-04] SELL CANFINHOME | Reason: HARD STOP (1%)       | PnL: Rs. -2238.80
[2019-02-04] SELL CCL        | Reason: TRAILING STOP        | PnL: Rs.  -148.00
[2019-02-05] BUY  AAVAS      | Qty:   59 | Cost: Rs. 49551.15
[2019-02-05] BUY  ABFRL      | Qty:  238 | Cost: Rs. 49849.10
[2019-02-05] BUY  ADANIENSOL | Qty:  232 | Cost: Rs. 49810.40
[2019-02-05] SELL AMBUJACEM  | Reason: TRAILING STOP        | PnL: Rs.  -154.70
[2019-02-05] SELL AUROPHARMA | Reason: HARD STOP (1%)       | PnL: Rs. -1329.25
[2019-02-05] BUY  BALRAMCHIN | Qty:  462 | Cost: Rs. 49942.20
[2019-02-05] BUY  BANDHANBNK | Qty:  120 | Cost: Rs. 49998.00
[2019-02-05] BUY  BLS        | Qty: 1912 | Cost: Rs. 49998.80
[2019-02-05] SELL BRITANNIA  | Reason: HARD STOP (1%)       | PnL: Rs. -1259.25
[2019-02-05] BUY  CESC       | Qty:  722 | Cost: Rs. 49962.40
[2019-02-06] BUY  3MINDIA    | Qty:    2 | Cost: Rs. 41250.20
[2019-02-06] SELL AAVAS      | Reason: TRAILING STOP        | PnL: Rs.   -41.30
[2019-02-06] BUY  ABBOTINDIA | Qty:    6 | Cost: Rs. 48718.20
[2019-02-06] SELL ABFRL      | Reason: HARD STOP (1%)       | PnL: Rs.  -523.60
[2019-02-06] BUY  ALKEM      | Qty:   26 | Cost: Rs. 49125.70
[2019-02-06] SELL BALRAMCHIN | Reason: TRAILING STOP        | PnL: Rs.  -323.40
[2019-02-06] SELL BLS        | Reason: TRAILING STOP        | PnL: Rs.  -286.80
